ISBN,書籍簡介
9789864344161,本書特色 ☛ Oracle資料庫優化的里程碑著作 ☛ 幫你系統性的發現並解決Oracle資料庫效能問題 ☛ 源自一線Oracle效能優化實踐，涵蓋目前所有可用版本 ☛ 被讀者譽為「透徹，但又易懂的效能優化好書」 媒體推薦 「網際網路上充斥著大量的Oracle效能相關資訊，不但高度碎片化，而且有很多是錯誤的。本書則異常清晰地提供了Oracle效能相關的理論和實踐，明確指導讀者找到需要達成的目的以及如何達成目的。」 ——Jonathan Lewis，Oracle技術專家，英國Oracle用戶組總監， 《Oracle Core: Essential Internals for DBAs and Developers》作者 「這是一本技術與理念並重的參考書，不僅包含大量完備的可重用的實例，而且包含富有說服力的新觀點。我可以用他的觀點去說服更多的人做正確的事。」 ——Cary Millsap，Method R公司首席執行官， Oracle公司系統效能集團前副總裁，資料庫效能技術大師 編輯推薦 前端業務應用炙手可熱之日，便是優化後端資料庫效能之時。當此之際，身懷資料庫優化絕技，可以讓你平步職場，傲視群英。 本書是Oracle資料庫優化專家Christian Antognini一部繼往開來的里程碑式著作。書中的實踐和諸多建議全部源於作者在實戰一線的豐富積累，不僅簡單實用，而且發人深省，堪稱一座「寶庫」，適合各個層級讀者研讀與發掘。 與其他同類圖書不同，本書不僅涵蓋了目前可用的各種Oracle版本，還指明了各版本其獨有的效能優化特性。全書以嶄新的視角開篇立論，圍繞查明問題真相和搜尋有效方略，透徹講解了查詢優化器的設定，表存取、連線和實體表設定的優化，以及加速SQL執行計畫等重要主題，被讀者譽為「透徹，但又易懂的效能優化好書」。 第二版作者增加了關於Oracle Database 11g和Oracle Database 12c的內容，補充了層次剖析工具、ASH、AWR和Statspack等知識點，並根據易讀性重新組織了部分素材。
9789864344154,本書特色 ☛ Oracle資料庫優化的里程碑著作 ☛ 幫你系統性的發現並解決Oracle資料庫效能問題 ☛ 源自一線Oracle效能優化實踐，涵蓋目前所有可用版本 ☛ 被讀者譽為「透徹，但又易懂的效能優化好書」 媒體推薦 「網際網路上充斥著大量的Oracle效能相關資訊，不但高度碎片化，而且有很多是錯誤的。本書則異常清晰地提供了Oracle效能相關的理論和實踐，明確指導讀者找到需要達成的目的以及如何達成目的。」 ——Jonathan Lewis，Oracle技術專家，英國Oracle用戶組總監， 《Oracle Core: Essential Internals for DBAs and Developers》作者 「這是一本技術與理念並重的參考書，不僅包含大量完備的可重用的實例，而且包含富有說服力的新觀點。我可以用他的觀點去說服更多的人做正確的事。」 ——Cary Millsap，Method R公司首席執行官， Oracle公司系統效能集團前副總裁，資料庫效能技術大師 編輯推薦 前端業務應用炙手可熱之日，便是優化後端資料庫效能之時。當此之際，身懷資料庫優化絕技，可以讓你平步職場，傲視群英。 本書是Oracle資料庫優化專家Christian Antognini一部繼往開來的里程碑式著作。書中的實踐和諸多建議全部源於作者在實戰一線的豐富積累，不僅簡單實用，而且發人深省，堪稱一座「寶庫」，適合各個層級讀者研讀與發掘。 與其他同類圖書不同，本書不僅涵蓋了目前可用的各種Oracle版本，還指明了各版本其獨有的效能優化特性。全書以嶄新的視角開篇立論，圍繞查明問題真相和搜尋有效方略，透徹講解了查詢優化器的設定，表存取、連線和實體表設定的優化，以及加速SQL執行計畫等重要主題，被讀者譽為「透徹，但又易懂的效能優化好書」。 第二版作者增加了關於Oracle Database 11g和Oracle Database 12c的內容，補充了層次剖析工具、ASH、AWR和Statspack等知識點，並根據易讀性重新組織了部分素材。
9789578247963,Oracle 是個很龐大的系統，有非常多的技術、選項、版本等。此書萃取了大量關於何謂 Oracle，以及最新版本有何種弁鄋爾穈T，進而包裝成精簡易讀、充滿提綱挈領的文字、插圖，以及有所助益之提示的一本書。
9789578247222,"Oracle Design 涵蓋了所有設計上的範圍，從專案管理到特殊資料庫的設計和程式撰寫的技巧。本書專為分析師，設計師，開發人員等任何關心系統效能的人所撰寫。範圍涵蓋了：設計的基礎-設計師該作些什麼，Oracle 7 的特色，""Oracle 8 先賭為快""等等。本書用了一個樣本系統並且在資料模型(個體、關係、屬性、個體模型、功能從屬)上作深度的討論。 資料庫設計-包括反正規化(denormalization)、資料型態、null值的使用、key、索引、時間性(temporal)資料、import/export、備份、回復(recovery)、安全、存檔(archiving)及稽查等相關議題。 特定的架構及環境-主從式架構、分散式資料庫、資料倉儲以及平行處理。 程式碼設計-包括矩陣(metrics)、原型、鎖定、開發工具的選擇以及操作畫面、報表、批次程式、線上求助、導覽的設計。"
9789861572772,0
9789864341559,專業資料庫人才的最佳實務培訓手冊全面進擊！職場DB實務技能◎精通PL/SQL的結構以及基本指令◎範例式導引資料庫的觀念語法◎完封業界所需的資料庫技能◎徹底掌握Oracle資料庫PL/SQL的程式開發◎適用Oracle 12c、11g、10g和9i獨創的圖解方式表達PL/SQL語言的精髓幫助PL/SQL的資料庫開發者和管理員建立堅實的基礎資料庫程式的設計與開發是軟體發展人員不可缺少的工作技能。本書將充分介紹Oracle PL/SQL語言的應用技術，帶領您解決資料庫開發中所遇到的各種問題。循序漸進地介紹Oracle PL/SQL程式設計，讓您了解PL/SQL的結構以及基本語法，包括如何宣告變數、使用迴圈與條件判斷、使用明確定義的游標，處理例外事件，建立函數與 程序、套裝程式及觸發程式等。不僅適合SQL和PL/SQL初學者，同樣也適用於有經驗的Oracle應用開發人員。
9781401960889,"從神聖的儀式、神奇的咒語、美不勝收的牌卡中感受原始Mother Earth源源不絕的力量與愛Reconnect with the healing wisdom of Mother Earth and to yourself with this diverse, brightly illustrated oracle deck from the author of Witchery and Plant Witchery.The Earthcraft Oracle is a tool to help you reconnect to Mother Earth and to your highest self. Each card message is an invitation to listen to Mother Earth's guidance; each spell, ritual, or invocation an opportunity to bring these lessons off the pages and into your daily practice; and each illustration a reminder that we are part of nature, not outside of it. With bodies of every shape, size, skin-tone, and hair texture represented, this deck affirms we are all Mother Earth's children.Mother Earth is our sacred home. We rely on her for everything from the air we breathe and the water we drink. She gives us so much and yet we take her magic for granted. We squander her gifts and ignore the results. But it is not too late. We have stopped listening, but she has not stopped communicating."
9780738769523,"將宇宙諸星象情境幻化為風格深邃神秘的牌卡意象，為亟欲突破困境、想成功、必須釋放憤怒或壓力的人們，找到出口與解答…From the brilliant imagination of bestselling artist Paolo Barbieri comes a must-have oracle filled with exquisite and formidable StarDragons—creative renditions of famous constellations, including Andromeda, Pegasus, Orion, and Ursa Major. Barbieri’s StarDragons capture the essence of these cosmic forces and inspire you to conquer your demons, release your anger, achieve success, and much more."
9780738769530,"愛神神諭卡卡面上的插畫發想與創作意象取材自古希臘神話，對情愛關係中的各種疑問，給予最適切與溫柔的指引…Feel the passion and love emanating from the Amor et Psyche Oracle and behold the stunning art that draws on ancient Greek myth and imagery. The oracular word or phrase on each card make this the perfect divinatory resource for answering questions related to romantic relationships and the course of your love life. With text by Rachel Paul, cocreator of the Barbieri Unicorns Oracle (9780738767338) and the Tarot of the Little Prince (9780738763415), this archetypal oracle will help you relate to the mythological energies in your life."
9781401960452,"神秘的自然力量牌卡，就讓其中無法言喻的奇妙靈性引領吧！Meet nature spirits and discover the hidden realms of the Sacred Forest with 52 oracle cards and guided meditation audios from best-selling author Denise Linn. Each card in this oracle deck is a special key that opens an energy portal to the Sacred Forest, a sacred realm similar to the legends of Tibetan Shambhala, the Mists of Avalon, and the Australian Dreamtime. Over the years, transformational teacher Denise Linn has used guided meditations to lead thousands of people into this magical dimension. Now, with this oracle, you can expand your consciousness and chart your own course through the vast mysteries and wonders of this inner landscape. Colorful and intricately layered art adorn each of the 52 cards with depictions of ancient nature spirits and guardians of the realm. Storm Spirit invites you to embrace chaos; the Enchanted Fern Grotto offers refuge. The cards tap into natural forces and your own inner knowledge to shed light on answers to long-sought questions. 53 FREE guided meditation audio downloads are included with this deck! Connect with the vibrational energy of the sacred forest with a general guided meditation as well as specially crafted meditations for each card."
