ISBN,書籍簡介
9789863478164,"你可以用更快更好的方式了解JavaScript和JQuery""我們用完全不同的排版及說明方式完全顛覆你對電腦書的刻版印象""學習重點● 理解和撰寫JavaScript程式碼● 為你的網站增添互動性● 使用jQuery技術簡化程式碼● 自製目前熱門的動態網頁效果你將會學到● 跑馬燈與燈箱效果● 進階表單設計與資料驗證● Ajax、API程式介面和JSON資料格式● 文字篩選、搜尋與排序功能線上支援● 範例程式碼和練習題均可於javascriptbook.com取得● 額外提供多樣具參考性的文件與素材你是新進入JavaScript程式設計的新手嗎？或想更深入了解你的網頁上複雜的程式碼背後的運作原理？那麼這本書正適合你閱讀。只要具備基本的HTML和CSS的網頁設計語法觀念，透過本書便可讓你學習如何閱讀和撰寫JavaScript程式碼，以簡單、視覺化的方式領會JavaScript程式設計應具備的重點概念。本書教導你如何為你的網站增添更多趣味性、吸引力、互動性、與操作便利性。透過書本所探討的程式設計理論，結合實際案例的說明，你將理解各熱門網站是如何運用JavaScript和jQuery技術增添網站的魅力。閱讀完本書，你便可在短時間內，以程式設計師的思維，撰寫出專業、優質的JavaScript程式碼。"
9789863124061,"撰寫不輸外掛、兼具效能的網頁效果, 是成為優秀前端工程師的最佳途徑！ jQuery 有琳瑯滿目的外掛可以使用, 但外掛真有那麼好用嗎？尤其對基本功不好的人來說, 因為看不懂外掛原始碼, 只能照單全收, 可能只需要用到 20% 功能, 卻加掛一大堆其實根本用不到的程式, 影響網頁效能。甚至很多外掛一起混用, 把網頁弄的一團亂, 無法運作... 其實自己撰寫比擬外掛的效果一點都不難！ 本書為您介紹 jQuery 中一定要熟練的 56 個方法, 透過 54 個實務範例的演練, 以及大量資深工程師的開發經驗, 帶你撰寫出不輸外掛、兼具效能的網頁效果, 同時也能快速增進你的程式功力！  本書特色: ●許多入門書對 jQuery 各種方法 (Method) 都只有粗淺介紹, 想深入學習 jQuery 各種方法並實際演練, 看這本就對了！ addClass()／animate()／append()／appendTo()／attr()／click()／clone()／css()／delay()／each()／each()／end()／eq()／fadeIn()／fadeOut()／find()／first()／hasClass()／hover()／html()／index()／is()／next()／not()／offset()／on()／parent()／parseInt()／prepend()／prependTo()／prev()／remove()／removeAttr()／removeClass()／replace()／resize()／reventDefault()／scrollTop()／setInterval()／setTimeout()／siblings()／slideDown()／slideToggle()／slideUp()／splice()／substr()／text()／toggleClass()／val()／wrapAll() ●本書收錄的經典範例包括：全畫面滿版背景圖片幻燈片效果、廣告與圖片輪播 Slideshow、無限滾動載入網頁內容 (Infinite Scroll)、Parallax 視差滾動效果, 絕對受用！"
9789863123903,"26 個經典範例帶您養成紮實的 jQuery 程式設計底子！ 使用 jQuery 可以輕鬆操作複雜的JavaScript，做出驚豔的網頁特效，是前端網頁設計師一定要學會的技能！ 用 jQuery 撰寫好的程式普遍都很簡短, 其中卻深藏著大大的學問。想學好 jQuery，必須紮實理解【選擇器】、【方法】的各種排列組合方式。本書透過實務上常見的 26 個 jQuery 經典範例，為您解說【商品放大檢視效果】、【展開式選單】、【訊息對話框】、【平滑捲動】等網頁效果是怎麼「從零開始」撰寫出來的。透過不斷的演練養成紮實的 jQuery 程式底子。懂 HTML + CSS + JavaScript 還不夠，學會 jQuery 大大提昇您的網頁設計功力吧！ 本書範例依難度區分 Level1～Level5，每堂課從零開始實作一個範例，依進度學習, 保證學的會！ 實作前先示範如何把範例拆解成數個子功能，以後面對複雜網頁效果再也不會不知從何下手。 每行程式都有註解說明，超乎你想像的仔細，絕對讀得懂程式碼！"
9789863479727,由於jQuery的關係，人們不再記得那些拙劣的過去，當時程式設計人員要手動管理瀏覽器的不一致、CSS選擇器的支援與DOM的走訪，還有著使用原生JavaScript做動畫的沮喪經驗。優雅而直覺的jQuery程式庫，能漂亮地管理這些問題，而jQuery 3甚至還新增了更多特性，能讓web開發人員生活更平穩而且擁有豐富產能。《jQuery 實戰手冊 第三版》是步調快速的jQuery指南，重點放在每個web開發專案幾乎都會遇到的任務上。在這本書中，你會學到走訪DOM、處理事件、執行動畫、撰寫jQuery plugin、執行Ajax請求，甚至是對程式碼進行單元測試的方式。它獨特的Lab頁面，銜接了實務程式碼的各個觀念。擴充後的第三版新增了一些章節，教導你與其他工具、框架互動，以及建立單頁面web應用程式的方式。‧更新至jQuery 3‧DOM處理與事件處理‧動畫與特效‧單元測試與Promise的進階主題‧實用範例與lab讀者只需要有初階的JavaScript程度。更多的資訊、範例程式碼下載，請造訪www.manning.com/jquery-in-action-third-edition
9789864340286,"「困難」排除、超群的檢索功能、範例現學現用
專家達人精選的珍貴職場實用技巧

眾所期盼的第一本jQuery外掛套件速查辭典終於上市了！！

學習一門語言的不二法門，就是從學會閱讀一本好的辭典開始！

市面上最嚴謹精美的閱讀版型，
不論從目錄索引、書側章節索引、或書末函數索引表，
都可以連結你腦中的關鍵詞庫，立即找到範例頁數。

不同於一般JavaScript與jQuery教科書，
內容介紹最熱門跨平台裝置的jQuery函式庫應用實例，
搭配便利的JQuery外掛套件不須一步一步從頭教學建立。
以跨瀏覽器跨版本的基礎上去掉冗長的html與Javascript格式碼，
頁面只簡潔引用jQuery外掛套件函式庫，
呈現重要的函數與方法變化的程式碼。
並以變數／設定值列表、步驟示範圖例清晰解說呈現套用效果。
替設計師預設各種網頁效果應用與出錯問題情境。

●第1章～第4章　顏色、地圖、通知／表格的基本應用
關於jQuery外掛的基本應用介紹，如顏色挑選器、Google地圖指示、以及在頁面上的即時互動式訊息更新等。

●第5章～第5章　圖片與螢幕畫面的顯示功能
處理各種圖片動畫特效，以及滑動操作與全螢幕顯示的功能應用。

●第7章～第9章　頁面、文字、選單顯示設定
應用各種頁面處理的功能來改善顯示設計，例如內容摺疊、自動跳頁、響應式文字、間距調整、多層次選單、置頂功能列等。

●第10章　其他外掛應用
包含各種進階的開發應用，可以達到加速頁面讀取速度的圖片延遲處理，還有像是Yotube影片嵌入、Cookie讀寫與圖表繪製等。"
9789864340095,"「困難」排除、超群的檢索功能、範例現學現用
專家達人精選的珍貴職場實用技巧

學習一門語言的不二法門，就是從學會閱讀一本好的辭典開始！

市面上最嚴謹精美的閱讀版型，
不論從目錄索引、書側章節索引、頁首關聯示例或書末函數索引表，
都可以連結你腦中的關鍵詞，立即找到範例頁數。

不同於一般JavaScript教科書與舊版辭典書籍，
內容使用最新HTML5應用實例，
搭配便利的JQuery函示庫不須一步一步從頭教學建立。
以網頁設計師的基礎上去掉冗長的html格式，
頁面只簡潔呈現重要的函數與方法變化的程式碼，
並以變數／設定值列表、步驟示範圖例清晰解說呈現套用效果。

另外，本書具兩大特點更加強化索引功能與使用方便性。
除各單元頁面所列的本頁關鍵詞索引外，
並附上【關聯】與【使用場合】列舉相關函數／設定值等，
替設計師預設各種網頁效果應用與出錯問題情境。

● 第1章 基本語法∼第3章 基本物件
　這3章整理了不受執行環境影響的JavaScript基本語法與內建物件的用法。
　其中也包含了JavaScript特殊的語法習慣，尤其函數／物件指向語法是容易犯錯的主題。

● 第4章頁面操作∼第7章UI開發 輸入輔助／範本引擎／ Canvas篇
　從利用JavaScript最具代表性的程式庫jQuery ／ jQuery UI進行的樹狀文件操作，
　到事件驅動開發、頁籤面板與自動完成功能這類有關UI的撰寫都將一一介紹。

● 第8章程式開發∼第10章CoffeeScript
　介紹Ajax傳輸、HTML5的JavaScript API、行動裝置開發這些與應用程式開發有關且較深入的主題。
　最後一章則介紹能取代JavaScript的簡易版語言CoffeeScript。"
9789863476009,"“The Missing Manual系列可說是我讀過最有見地、最實用的系列書籍了…”—Kevin Kelly, Wired 之共同創辦人 書架上不能沒有的一本書答案就在這裡！JavaScript可開發出各式各樣的動畫和互動特效，讓網頁更生動精彩，但卻不容易學習。本書以淺顯易懂的方式逐步引導你學習JavaScript基礎知識，並教你如何善用jQuery與jQuery UI省下大量的開發時間與精力。你不可不知的重要訣竅‧讓網頁活起來-以jQuery設計與使用者互動的元素‧熟悉jQuery UI-以標籤分頁，對話框，日曆與其他widget豐富介面的呈現‧漂亮的表格-接受使用者輸入，幫助顧客下單，讓會員發表意見‧以Ajax超越瀏覽器的束縛-與伺服器通訊，不需重新載入就能更新內容‧運用新技能執行工作-使用jQuery與jQuery UI逐步開發應用程式‧更高階的主題-使用ThemeRoller自訂widget；避免新手常犯的錯誤"
9789862019252,"徹底攻略jQuery Mobile 智慧型手機程式開發HTML5可將開發智慧型手機程式的語言統整成HTML/JavaScript，真實地實現所謂的「智慧型開發」，也就是一套HTML/JavaScript程式碼分別支援三種平台的意思，再加上本書為了有效開發HTML5智慧型手機程式而介紹了「jQuery Mobile」與「PhoneGap」，因此要想以三倍速度完成智慧型手機程式的開發也絕不是白日夢。 本書除了介紹目前最受注意的jQuery Mobile的基礎以及一些實用的技巧，同時也介紹如何搭配周邊程式庫或HTML5 API的方法，並在過程中帶著大家一起製作有趣的範例程式。另外，也說明如何透過將HTML/JavaScript程式轉換成手機原生程式的PhoneGap，以及可應用於業務系統的表單與表格製作，或是可於遊戲應用的感應器／觸控事件的開發方法。 本書將以獨特而幽默的口吻解說實際開發程式之際遇到的困難該如何解決，也介紹如何為程式調整效能，有時候也會試圖搏君一笑來取悅讀者，讓我們一起快樂地開發智慧型手機應用程式吧！最後，希望各位讀者閱讀完本書後，可自信且大膽地說：「請把智慧型手機程式的案子交給我來開發吧！」 【本書特色】★智慧型手機程式開發專書。★簡單有效率地開發網路應用程式。★提供各種能實際應用於職場的製作技巧與範例。"
9789862018071,10天就懂！從零開始學習jQuery動態UI的製作方式！各個LESSON的結構1)實際演練=實習依照步驟實際製作應用程式。2)理解內容=課程仔細學習基礎知識和技術重點。 3)再次複習=重點整理學習課程內容的重點。‧實作沒問題：步驟式教學實作，絕對上手！‧概念一點通：仔細學習基礎知識和技術重點‧進度自由排：依照自己的行程安排學習進度‧範例可對照：附有各個LESSON所使用的範例檔案‧重點再複習：「重點整理」幫助您掌握各個LESSON的重點jQuery的實用度與各種豐富的擴充功能，讓它自己搖身一變成為JavaScrpit的新經典程式庫，因此從程式設計師到網頁設計師無不於工作之際廣泛地使用jQuery。本書除了介紹jQuery的基本內容－選擇器之外，還將仔細地解說主要的程式庫與插件的使用方法，同時告訴大家該如何撰寫各種事件處理以及客製化程式的開發方式。即便您之前未曾寫過程式，也能以邊學邊動手做的方式，紮實地學習jQuery的使用方法。「10天就懂」系列特色本系列的各個LESSON都是由實習（實際演練）+課程（理解內容）所構成，一個LESSON的內容大約可在30分鐘左右（因人而異）學習完畢。本書有36個LESSON，如果以一天3~4個LESSON的進度學習，就能用10天精通本書。另外，讀者可以自行安排一天要完成幾個LESSON，或是選擇想要瞭解的LESSON重新學習，因此不會有任何學習壓力。
9789862765654,「jQuery Mobile：建置與執行 以精簡扼要的方式呈現jQuery Mobile框架，幫助讀者快速提升生產力。」 ──Mike Hostetler，appendTo CEO 使用HTML5為平板電腦與智慧型手機設計Web Apps 想要建置能夠在iPad與Kindle Fire上運行，同時能在iPhone與Android智慧型手機上運作的行動web應用程式嗎？這本jQuery Mobile入門指南會教你如何辦到。透過一系列實際動手操作的練習，你會學到如何以最佳方式使用這個框架所提供的許多介面元件，製作出可自訂的多平台app。不需要具備任何的程式設計技能，也不必熟悉jQuery就能夠開始使用jQuery Mobile框架。 讀完本書後，你就會知道如何使用jQuery Mobile和語意HTML5建立出反應能力佳、以AJAX為基礎的介面，能在各式各樣的智慧型手機與平板電腦上運行。 ■ 了解jQuery Mobile如何與HTML5、CSS3以及JavaScript互動 ■ 使用UI元件來格式化內容，並建立表單、串列、導覽列與按鈕 ■ 透過JavaScript、AJAX與jQuery核心框架來建立動態內容 ■ 使用主題與CSS3自訂整個使用者介面 ■ 讓使用者透過瀏覽器安裝你的app，並在離線模式下使用它 ■ 將你的作品包裝為原生app套件，並透過App商店發行 Maximiliano Firtman 是行動技術與HTML5相關技術的專家。作為Web與行動技術的教育者，他是一位教練、講師以及Adobe的Community Professional，同時也是Programming the Mobile Web（O'Reilly）的作者，以及ITMaster Professional Training的創立者。 目錄: 前言 1. 行動平台為何我們需要 jQuery Mobile？ 什麼是 jQuery Mobile？ 行動與平板的世界 HTML5 與 CSS3 主要特色測試 Webapps 2. 開始使用 jQuery Mobile 框架準備文件 Adobe Dreamweaver 的支援架構 導覽 對話方塊 與行動電話整合 3. UI 元件 工具列 格式化內容 分欄顯示 按鈕 4. 串列全頁串列與內嵌式串列 視覺分隔器 互動列 使用圖像 側邊內容 標題與描述（Description） 使用計數氣泡 使用搜尋過濾資料 List Views 的小抄 5. 表單元件 表單動作 表單元素 6. jQuery Mobile 與 JavaScript 文件事件組態設定 工具 自訂的切換動畫 動態內容創建格網 變更頁面內容 事件處理 7. 創建主題 ThemeRoller Fireworks 主題編輯器 編輯主題 自訂切換動畫 8. 安裝與離線存取 套件定義（Package Definition） 安裝圖示全螢幕 全部整合在一起 儲存離線資料（Storing Offline Data） 9. 一個完整的 Webapp Webapp 的結構 10. 擴充 jQuery Mobile 創建外掛 值得注意的外掛平板電腦專用的外掛相容的外掛 11. 製作套件準備上架軟體商店經由商店發行 自訂的發行方式準備套件 使用 PhoneGap 進行套件化 索引
